credit_risk,age,amount,credit_history,duration,employment_duration,foreign_worker,housing,installment_rate,job,number_credits,other_debtors,other_installment_plans,people_liable,personal_status_sex,present_residence,property,purpose,savings,status,telephone
good,36,2760,no credits taken/all credits paid back duly,24,>= 7 yrs,no,own,< 20,skilled employee/official,1,none,bank,0 to 2,male : married/widowed,>= 7 yrs,real estate,car (new),... >= 1000 DM,... < 0 DM,yes (under customer name)
bad,40,4297,existing credits paid back duly till now,18,>= 7 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : divorced/separated,4 <= ... < 7 yrs,real estate,car (used),unknown/no savings account,... < 0 DM,yes (under customer name)
good,52,936,all credits at this bank paid back duly,9,>= 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,repairs,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,27,1168,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,unskilled - resident,1,none,none,0 to 2,female : single,4 <= ... < 7 yrs,unknown / no property,others,unknown/no savings account,no checking account,no
good,26,5117,existing credits paid back duly till now,27,4 <= ... < 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,retraining,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
bad,21,902,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,no,for free,< 20,skilled employee/official,1,none,none,0 to 2,female : single,>= 7 yrs,car or other,vacation,unknown/no savings account,no checking account,no
good,38,1495,all credits at this bank paid back duly,12,>= 7 yrs,no,rent,< 20,unskilled - resident,2-3,none,none,3 or more,male : married/widowed,< 1 yr,unknown / no property,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,38,10623,all credits at this bank paid back duly,30,>= 7 yrs,no,own,20 <= ... < 25,manager/self-empl/highly qualif. employee,4-5,none,none,3 or more,male : married/widowed,>= 7 yrs,real estate,car (new),unknown/no savings account,no checking account,yes (under customer name)
good,43,1935,all credits at this bank paid back duly,12,>= 7 yrs,no,rent,< 20,skilled employee/official,4-5,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,car (used),unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,26,1424,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,car or other,radio/television,unknown/no savings account,... < 0 DM,no
good,21,6568,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,stores,0 to 2,female : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,retraining,unknown/no savings account,no checking account,no
good,55,1413,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,yes,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,car or other,car (new),500 <= ... < 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,33,3074,all credits at this bank paid back duly,9,1 <= ... < 4 yrs,no,rent,>= 35,skilled employee/official,2-3,none,none,3 or more,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,45,3835,no credits taken/all credits paid back duly,36,>= 7 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,50,5293,delay in paying off in the past,27,unemployed,no,rent,25 <= ... < 35,skilled employee/official,2-3,none,stores,0 to 2,male : married/widowed,>= 7 yrs,car or other,retraining,unknown/no savings account,no checking account,yes (under customer name)
bad,66,1908,existing credits paid back duly till now,30,>= 7 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,retraining,unknown/no savings account,0<= ... < 200 DM,yes (under customer name)
good,51,3342,all credits at this bank paid back duly,36,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,39,932,all credits at this bank paid back duly,6,4 <= ... < 7 yrs,no,rent,>= 35,unskilled - resident,2-3,none,none,0 to 2,female : non-single or male : single,4 <= ... < 7 yrs,car or other,vacation,... >= 1000 DM,... < 0 DM,no
good,31,3104,delay in paying off in the past,18,4 <= ... < 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,bank,0 to 2,male : married/widowed,< 1 yr,car or other,retraining,unknown/no savings account,no checking account,yes (under customer name)
good,23,3913,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,0<= ... < 200 DM,yes (under customer name)
good,24,3021,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,no,for free,25 <= ... < 35,unskilled - resident,1,none,none,0 to 2,male : divorced/separated,1 <= ... < 4 yrs,unknown / no property,car (used),unknown/no savings account,no checking account,no
good,64,1364,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,26,625,no credits taken/all credits paid back duly,12,< 1 yr,no,rent,< 20,unskilled - resident,1,guarantor,bank,0 to 2,female : single,< 1 yr,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,23,1200,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,for free,< 20,skilled employee/official,1,none,bank,0 to 2,female : non-single or male : single,>= 7 yrs,car or other,repairs,... >= 1000 DM,no checking account,yes (under customer name)
good,30,707,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,2-3,none,bank,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,32,2978,existing credits paid back duly till now,24,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,3 or more,male : married/widowed,>= 7 yrs,unknown / no property,retraining,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,30,4657,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (new),unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,27,2613,delay in paying off in the past,36,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,domestic appliances,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
bad,27,10961,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,no,rent,>= 35,skilled employee/official,2-3,co-applicant,bank,0 to 2,male : married/widowed,1 <= ... < 4 yrs,real estate,furniture/equipment,500 <= ... < 1000 DM,... < 0 DM,yes (under customer name)
bad,53,7865,no credits taken/all credits paid back duly,12,>= 7 yrs,no,own,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,car (used),unknown/no savings account,no checking account,yes (under customer name)
bad,22,1478,no credits taken/all credits paid back duly,9,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,22,3149,no credits taken/all credits paid back duly,24,< 1 yr,no,own,< 20,skilled employee/official,1,none,bank,0 to 2,male : married/widowed,< 1 yr,real estate,car (used),unknown/no savings account,no checking account,no
bad,26,4210,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,0<= ... < 200 DM,no
good,51,2507,no credits taken/all credits paid back duly,9,>= 7 yrs,no,own,25 <= ... < 35,unskilled - resident,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,others,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,no
good,35,2141,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,< 1 yr,real estate,furniture/equipment,... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,25,866,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,rent,< 20,unskilled - resident,1,guarantor,none,0 to 2,female : single,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,42,1544,all credits at this bank paid back duly,4,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,unskilled - resident,4-5,none,none,3 or more,male : married/widowed,< 1 yr,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
bad,30,1823,no credits taken/all credits paid back duly,24,unemployed,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,stores,3 or more,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,no checking account,no
bad,23,14555,no credits taken/all credits paid back duly,6,unemployed,no,rent,>= 35,unemployed/unskilled - non-resident,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,car or other,others,... >= 1000 DM,... < 0 DM,yes (under customer name)
bad,61,2767,no credits taken/all credits paid back duly,21,>= 7 yrs,no,for free,< 20,unskilled - resident,2-3,none,bank,0 to 2,male : divorced/separated,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,retraining,... < 100 DM,... < 0 DM,no
good,35,1291,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,car or other,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,39,2522,no credits taken/all credits paid back duly,30,>= 7 yrs,no,rent,>= 35,skilled employee/official,1,guarantor,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,car or other,furniture/equipment,unknown/no savings account,no checking account,no
bad,29,915,no credits taken/all credits paid back duly,24,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,bank,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,others,... >= 1000 DM,no checking account,no
good,51,1595,no credits taken/all credits paid back duly,6,4 <= ... < 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,3 or more,male : married/widowed,1 <= ... < 4 yrs,car or other,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
bad,24,4605,delay in paying off in the past,48,>= 7 yrs,no,own,20 <= ... < 25,skilled employee/official,2-3,none,none,3 or more,male : married/widowed,>= 7 yrs,real estate,car (new),unknown/no savings account,no checking account,no
good,27,1185,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,2-3,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,unknown / no property,retraining,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,35,3447,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,no,rent,< 20,unskilled - resident,1,none,none,3 or more,female : non-single or male : single,4 <= ... < 7 yrs,unknown / no property,vacation,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,no
good,25,1258,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,< 1 yr,unknown / no property,retraining,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,52,717,all credits at this bank paid back duly,12,>= 7 yrs,no,rent,< 20,skilled employee/official,4-5,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,35,1204,delay in paying off in the past,6,1 <= ... < 4 yrs,yes,for free,< 20,skilled employee/official,1,none,bank,0 to 2,male : married/widowed,< 1 yr,real estate,others,... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,26,1925,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,car (used),unknown/no savings account,0<= ... < 200 DM,no
bad,22,433,no credits taken/all credits paid back duly,18,unemployed,no,for free,20 <= ... < 25,skilled employee/official,1,co-applicant,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,39,666,all credits at this bank paid back duly,6,4 <= ... < 7 yrs,no,rent,20 <= ... < 25,unskilled - resident,2-3,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,others,500 <= ... < 1000 DM,no checking account,yes (under customer name)
good,46,2251,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,>= 35,unskilled - resident,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (used),unknown/no savings account,0<= ... < 200 DM,no
bad,24,2150,no credits taken/all credits paid back duly,30,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,guarantor,bank,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,real estate,others,unknown/no savings account,... < 0 DM,no
good,35,4151,existing credits paid back duly till now,24,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,car or other,car (used),... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,24,2030,no credits taken/all credits paid back duly,9,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,< 1 yr,building soc. savings agr. / life insurance,car (used),... >= 1000 DM,... < 0 DM,yes (under customer name)
good,27,7418,existing credits paid back duly till now,60,1 <= ... < 4 yrs,no,rent,>= 35,unskilled - resident,1,none,none,0 to 2,male : married/widowed,< 1 yr,unknown / no property,furniture/equipment,... >= 1000 DM,... < 0 DM,no
good,35,2684,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,no,rent,< 20,unskilled - resident,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
bad,29,2149,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,no,own,< 20,skilled employee/official,1,none,none,0 to 2,male : divorced/separated,< 1 yr,real estate,furniture/equipment,unknown/no savings account,no checking account,no
good,23,3812,no credits taken/all credits paid back duly,15,< 1 yr,no,rent,>= 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,car (new),... < 100 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,57,1154,all credits at this bank paid back duly,11,unemployed,no,rent,< 20,unskilled - resident,4-5,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,furniture/equipment,... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,27,1657,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,car (used),unknown/no savings account,no checking account,no
good,55,1603,no credits taken/all credits paid back duly,24,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,no checking account,no
good,36,5302,all credits at this bank paid back duly,18,>= 7 yrs,no,own,25 <= ... < 35,manager/self-empl/highly qualif. employee,4-5,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,others,unknown/no savings account,no checking account,yes (under customer name)
good,57,2748,all credits at this bank paid back duly,12,>= 7 yrs,no,own,25 <= ... < 35,unskilled - resident,4-5,none,bank,0 to 2,female : non-single or male : single,>= 7 yrs,real estate,repairs,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,32,1231,all credits at this bank paid back duly,10,>= 7 yrs,yes,rent,20 <= ... < 25,unskilled - resident,2-3,none,none,3 or more,male : married/widowed,>= 7 yrs,unknown / no property,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
bad,37,802,no credits taken/all credits paid back duly,15,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,36,6304,all credits at this bank paid back duly,36,>= 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,retraining,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,38,1533,no credits taken/all credits paid back duly,24,< 1 yr,no,rent,< 20,skilled employee/official,1,none,stores,0 to 2,female : non-single or male : single,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,45,8978,no credits taken/all credits paid back duly,14,>= 7 yrs,yes,rent,>= 35,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : divorced/separated,>= 7 yrs,car or other,others,unknown/no savings account,no checking account,yes (under customer name)
good,25,999,no credits taken/all credits paid back duly,24,>= 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,32,2662,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,yes,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,car or other,others,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,37,1402,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,no,for free,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,car (used),100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,36,12169,critical account/other credits elsewhere,48,unemployed,no,own,< 20,manager/self-empl/highly qualif. employee,1,co-applicant,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,others,... >= 1000 DM,... < 0 DM,yes (under customer name)
bad,28,3060,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
bad,34,11998,no credits taken/all credits paid back duly,30,< 1 yr,no,rent,>= 35,unskilled - resident,1,none,none,0 to 2,male : divorced/separated,< 1 yr,real estate,domestic appliances,unknown/no savings account,no checking account,yes (under customer name)
good,32,2697,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,no,rent,>= 35,skilled employee/official,1,none,none,3 or more,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,26,2404,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,2-3,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,49,1262,no credits taken/all credits paid back duly,12,>= 7 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,none,0 to 2,male : divorced/separated,>= 7 yrs,car or other,car (used),... >= 1000 DM,no checking account,yes (under customer name)
bad,32,4611,no credits taken/all credits paid back duly,6,< 1 yr,no,rent,>= 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,car or other,car (used),unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,29,1901,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,no,for free,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,... < 100 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,23,3368,all credits at this bank paid back duly,15,>= 7 yrs,no,for free,20 <= ... < 25,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,car (new),500 <= ... < 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,50,1574,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,car (used),unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,49,1445,critical account/other credits elsewhere,18,4 <= ... < 7 yrs,no,rent,< 20,unskilled - resident,1,none,bank,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,... >= 1000 DM,0<= ... < 200 DM,no
good,63,1520,all credits at this bank paid back duly,15,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,car or other,car (used),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,37,3878,all credits at this bank paid back duly,24,< 1 yr,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : divorced/separated,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,others,... < 100 DM,... < 0 DM,yes (under customer name)
good,35,10722,no credits taken/all credits paid back duly,47,< 1 yr,no,rent,>= 35,unskilled - resident,1,none,none,0 to 2,female : non-single or male : single,< 1 yr,unknown / no property,others,unknown/no savings account,no checking account,yes (under customer name)
good,26,4788,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,car or other,car (new),unknown/no savings account,no checking account,no
good,31,7582,existing credits paid back duly till now,48,unemployed,no,own,25 <= ... < 35,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,business,... < 100 DM,... < 0 DM,yes (under customer name)
good,49,1092,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,2-3,guarantor,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,yes (under customer name)
bad,48,1024,existing credits paid back duly till now,24,< 1 yr,no,rent,< 20,skilled employee/official,1,none,stores,0 to 2,female : single,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,no checking account,no
good,26,1076,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,yes,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,female : single,1 <= ... < 4 yrs,unknown / no property,retraining,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,28,9398,no credits taken/all credits paid back duly,36,< 1 yr,no,for free,>= 35,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,female : single,>= 7 yrs,building soc. savings agr. / life insurance,car (new),unknown/no savings account,... < 0 DM,yes (under customer name)
good,44,6419,all credits at this bank paid back duly,24,>= 7 yrs,no,own,25 <= ... < 35,manager/self-empl/highly qualif. employee,2-3,none,none,3 or more,female : non-single or male : single,>= 7 yrs,real estate,car (new),unknown/no savings account,no checking account,yes (under customer name)
good,56,4796,all credits at this bank paid back duly,42,>= 7 yrs,no,own,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,car (new),unknown/no savings account,0<= ... < 200 DM,no
good,46,7629,all credits at this bank paid back duly,48,>= 7 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,2-3,none,bank,3 or more,male : divorced/separated,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,retraining,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
bad,26,9960,no credits taken/all credits paid back duly,48,< 1 yr,no,rent,>= 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (used),unknown/no savings account,... < 0 DM,yes (under customer name)
good,20,4675,no credits taken/all credits paid back duly,12,< 1 yr,no,for free,>= 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,car (new),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,45,1287,no credits taken/all credits paid back duly,10,>= 7 yrs,yes,rent,< 20,unskilled - resident,1,co-applicant,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,car or other,others,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,43,2515,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,car (used),unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,32,2745,all credits at this bank paid back duly,21,4 <= ... < 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (used),500 <= ... < 1000 DM,... < 0 DM,yes (under customer name)
good,54,672,no credits taken/all credits paid back duly,6,unemployed,no,rent,>= 35,unemployed/unskilled - non-resident,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,42,3804,delay in paying off in the past,36,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,< 1 yr,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... < 0 DM,yes (under customer name)
bad,37,1344,all credits at this bank paid back duly,24,4 <= ... < 7 yrs,no,rent,< 20,unskilled - resident,2-3,none,bank,3 or more,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,others,... >= 1000 DM,0<= ... < 200 DM,no
good,49,1038,all credits at this bank paid back duly,10,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,2-3,co-applicant,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,car or other,others,unknown/no savings account,no checking account,yes (under customer name)
bad,44,10127,all credits at this bank paid back duly,48,1 <= ... < 4 yrs,no,own,25 <= ... < 35,skilled employee/official,1,none,bank,0 to 2,male : married/widowed,1 <= ... < 4 yrs,real estate,others,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,no
good,33,1543,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : divorced/separated,1 <= ... < 4 yrs,unknown / no property,car (used),500 <= ... < 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,24,4811,no credits taken/all credits paid back duly,30,4 <= ... < 7 yrs,no,for free,25 <= ... < 35,unskilled - resident,1,none,stores,0 to 2,female : non-single or male : single,>= 7 yrs,car or other,car (new),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
