instant,dteday,year,season,month,weekday,holiday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
293,2011-10-20,2011,winter,October,Thursday,0,1,Good,20,23,64,28,471,3724,4195
294,2011-10-21,2011,winter,October,Friday,0,1,Good,18,21,57,15,676,3628,4304
295,2011-10-22,2011,winter,October,Saturday,0,0,Good,17,21,63,6,1499,2809,4308
296,2011-10-23,2011,winter,October,Sunday,0,0,Good,17,21,74,7,1619,2762,4381
297,2011-10-24,2011,winter,October,Monday,0,1,Good,19,23,77,8,699,3488,4187
298,2011-10-25,2011,winter,October,Tuesday,0,1,Good,19,23,62,11,695,3992,4687
299,2011-10-26,2011,winter,October,Wednesday,0,1,Clouds/Mist,20,24,72,10,404,3490,3894
300,2011-10-27,2011,winter,October,Thursday,0,1,Clouds/Mist,19,23,81,13,240,2419,2659
301,2011-10-28,2011,winter,October,Friday,0,1,Clouds/Mist,14,16,59,15,456,3291,3747
302,2011-10-29,2011,winter,October,Saturday,0,0,Rain/Snow/Storm,10,11,88,24,57,570,627
303,2011-10-30,2011,winter,October,Sunday,0,0,Good,13,16,62,12,885,2446,3331
304,2011-10-31,2011,winter,October,Monday,0,1,Good,14,18,70,7,362,3307,3669
305,2011-11-01,2011,winter,November,Tuesday,0,1,Good,16,20,68,9,410,3658,4068
306,2011-11-02,2011,winter,November,Wednesday,0,1,Good,15,20,72,6,370,3816,4186
307,2011-11-03,2011,winter,November,Thursday,0,1,Good,17,20,70,9,318,3656,3974
308,2011-11-04,2011,winter,November,Friday,0,1,Clouds/Mist,17,20,62,18,470,3576,4046
309,2011-11-05,2011,winter,November,Saturday,0,0,Good,13,16,52,13,1156,2770,3926
310,2011-11-06,2011,winter,November,Sunday,0,0,Good,14,18,73,6,952,2697,3649
311,2011-11-07,2011,winter,November,Monday,0,1,Good,16,20,76,4,373,3662,4035
312,2011-11-08,2011,winter,November,Tuesday,0,1,Good,17,21,72,5,376,3829,4205
313,2011-11-09,2011,winter,November,Wednesday,0,1,Good,16,20,76,4,305,3804,4109
314,2011-11-10,2011,winter,November,Thursday,0,1,Clouds/Mist,16,19,81,13,190,2743,2933
315,2011-11-11,2011,winter,November,Friday,1,0,Good,13,15,45,21,440,2928,3368
316,2011-11-12,2011,winter,November,Saturday,0,0,Good,15,18,55,14,1275,2792,4067
317,2011-11-13,2011,winter,November,Sunday,0,0,Good,18,22,46,19,1004,2713,3717
318,2011-11-14,2011,winter,November,Monday,0,1,Good,22,26,59,21,595,3891,4486
319,2011-11-15,2011,winter,November,Tuesday,0,1,Clouds/Mist,22,25,69,13,449,3746,4195
320,2011-11-16,2011,winter,November,Wednesday,0,1,Rain/Snow/Storm,19,23,93,9,145,1672,1817
321,2011-11-17,2011,winter,November,Thursday,0,1,Clouds/Mist,14,16,58,20,139,2914,3053
322,2011-11-18,2011,winter,November,Friday,0,1,Good,11,14,41,11,245,3147,3392
323,2011-11-19,2011,winter,November,Saturday,0,0,Good,13,16,50,15,943,2720,3663
324,2011-11-20,2011,winter,November,Sunday,0,0,Clouds/Mist,19,23,68,12,787,2733,3520
325,2011-11-21,2011,winter,November,Monday,0,1,Rain/Snow/Storm,18,22,91,9,220,2545,2765
326,2011-11-22,2011,winter,November,Tuesday,0,1,Rain/Snow/Storm,17,21,96,8,69,1538,1607
327,2011-11-23,2011,winter,November,Wednesday,0,1,Clouds/Mist,18,22,76,23,112,2454,2566
328,2011-11-24,2011,winter,November,Thursday,1,0,Good,15,19,55,11,560,935,1495
329,2011-11-25,2011,winter,November,Friday,0,1,Good,15,19,64,7,1095,1697,2792
330,2011-11-26,2011,winter,November,Saturday,0,0,Good,15,19,68,5,1249,1819,3068
331,2011-11-27,2011,winter,November,Sunday,0,0,Good,19,23,70,14,810,2261,3071
332,2011-11-28,2011,winter,November,Monday,0,1,Good,21,25,74,10,253,3614,3867
333,2011-11-29,2011,winter,November,Tuesday,0,1,Clouds/Mist,19,23,83,17,96,2818,2914
334,2011-11-30,2011,winter,November,Wednesday,0,1,Good,13,16,61,18,188,3425,3613
335,2011-12-01,2011,winter,December,Thursday,0,1,Good,13,15,52,15,182,3545,3727
336,2011-12-02,2011,winter,December,Friday,0,1,Good,13,17,63,7,268,3672,3940
337,2011-12-03,2011,winter,December,Saturday,0,0,Good,12,16,61,6,706,2908,3614
338,2011-12-04,2011,winter,December,Sunday,0,0,Good,14,17,78,6,634,2851,3485
339,2011-12-05,2011,winter,December,Monday,0,1,Clouds/Mist,16,20,83,4,233,3578,3811
340,2011-12-06,2011,winter,December,Tuesday,0,1,Rain/Snow/Storm,19,23,95,16,126,2468,2594
341,2011-12-07,2011,winter,December,Wednesday,0,1,Rain/Snow/Storm,17,20,97,18,50,655,705
342,2011-12-08,2011,winter,December,Thursday,0,1,Good,11,13,58,16,150,3172,3322
343,2011-12-09,2011,winter,December,Friday,0,1,Good,12,16,70,6,261,3359,3620
344,2011-12-10,2011,winter,December,Saturday,0,0,Good,11,13,51,16,502,2688,3190
345,2011-12-11,2011,winter,December,Sunday,0,0,Good,9,13,49,4,377,2366,2743
346,2011-12-12,2011,winter,December,Monday,0,1,Good,10,14,67,4,143,3167,3310
347,2011-12-13,2011,winter,December,Tuesday,0,1,Good,12,15,59,9,155,3368,3523
348,2011-12-14,2011,winter,December,Wednesday,0,1,Clouds/Mist,13,17,66,4,178,3562,3740
349,2011-12-15,2011,winter,December,Thursday,0,1,Clouds/Mist,17,21,63,18,181,3528,3709
350,2011-12-16,2011,winter,December,Friday,0,1,Clouds/Mist,15,18,50,17,178,3399,3577
351,2011-12-17,2011,winter,December,Saturday,0,0,Clouds/Mist,11,12,56,16,275,2464,2739
352,2011-12-18,2011,winter,December,Sunday,0,0,Good,10,12,59,11,220,2211,2431
353,2011-12-19,2011,winter,December,Monday,0,1,Good,11,14,64,12,260,3143,3403
354,2011-12-20,2011,winter,December,Tuesday,0,1,Clouds/Mist,16,20,60,4,216,3534,3750
355,2011-12-21,2011,spring,December,Wednesday,0,1,Clouds/Mist,18,21,86,15,107,2553,2660
356,2011-12-22,2011,spring,December,Thursday,0,1,Clouds/Mist,17,21,76,3,227,2841,3068
357,2011-12-23,2011,spring,December,Friday,0,1,Good,15,19,69,18,163,2046,2209
358,2011-12-24,2011,spring,December,Saturday,0,0,Good,12,15,54,13,155,856,1011
359,2011-12-25,2011,spring,December,Sunday,0,0,Good,11,14,68,10,303,451,754
360,2011-12-26,2011,spring,December,Monday,1,0,Good,13,16,51,16,430,887,1317
361,2011-12-27,2011,spring,December,Tuesday,0,1,Clouds/Mist,13,16,76,13,103,1059,1162
362,2011-12-28,2011,spring,December,Wednesday,0,1,Good,12,14,50,20,255,2047,2302
363,2011-12-29,2011,spring,December,Thursday,0,1,Good,10,13,57,8,254,2169,2423
364,2011-12-30,2011,spring,December,Friday,0,1,Good,13,16,64,9,491,2508,2999
365,2011-12-31,2011,spring,December,Saturday,0,0,Good,17,21,62,15,665,1820,2485
366,2012-01-01,2012,spring,January,Sunday,0,0,Good,15,19,69,13,686,1608,2294
367,2012-01-02,2012,spring,January,Monday,1,0,Good,11,13,38,22,244,1707,1951
368,2012-01-03,2012,spring,January,Tuesday,0,1,Good,6,6,44,24,89,2147,2236
369,2012-01-04,2012,spring,January,Wednesday,0,1,Clouds/Mist,4,6,41,12,95,2273,2368
370,2012-01-05,2012,spring,January,Thursday,0,1,Good,11,14,52,9,140,3132,3272
371,2012-01-06,2012,spring,January,Friday,0,1,Good,14,17,54,11,307,3791,4098
372,2012-01-07,2012,spring,January,Saturday,0,0,Good,16,20,53,12,1070,3451,4521
373,2012-01-08,2012,spring,January,Sunday,0,0,Good,14,17,46,13,599,2826,3425
374,2012-01-09,2012,spring,January,Monday,0,1,Clouds/Mist,9,12,70,7,106,2270,2376
375,2012-01-10,2012,spring,January,Tuesday,0,1,Good,13,16,65,13,173,3425,3598
376,2012-01-11,2012,spring,January,Wednesday,0,1,Clouds/Mist,11,14,85,9,92,2085,2177
377,2012-01-12,2012,spring,January,Thursday,0,1,Clouds/Mist,16,19,80,12,269,3828,4097
378,2012-01-13,2012,spring,January,Friday,0,1,Good,11,12,51,25,174,3040,3214
379,2012-01-14,2012,spring,January,Saturday,0,0,Good,7,9,46,13,333,2160,2493
380,2012-01-15,2012,spring,January,Sunday,0,0,Good,7,8,42,17,284,2027,2311
381,2012-01-16,2012,spring,January,Monday,1,0,Good,8,10,52,16,217,2081,2298
382,2012-01-17,2012,spring,January,Tuesday,0,1,Clouds/Mist,15,18,72,23,127,2808,2935
383,2012-01-18,2012,spring,January,Wednesday,0,1,Good,12,14,44,28,109,3267,3376
384,2012-01-19,2012,spring,January,Thursday,0,1,Good,8,10,50,15,130,3162,3292
385,2012-01-20,2012,spring,January,Friday,0,1,Clouds/Mist,9,11,45,14,115,3048,3163
386,2012-01-21,2012,spring,January,Saturday,0,0,Clouds/Mist,7,9,83,15,67,1234,1301
387,2012-01-22,2012,spring,January,Sunday,0,0,Clouds/Mist,7,8,80,13,196,1781,1977
388,2012-01-23,2012,spring,January,Monday,0,1,Clouds/Mist,9,12,91,7,145,2287,2432
389,2012-01-24,2012,spring,January,Tuesday,0,1,Good,14,17,84,8,439,3900,4339
390,2012-01-25,2012,spring,January,Wednesday,0,1,Good,12,15,64,11,467,3803,4270
391,2012-01-26,2012,spring,January,Thursday,0,1,Clouds/Mist,14,18,77,5,244,3831,4075
392,2012-01-27,2012,spring,January,Friday,0,1,Clouds/Mist,17,21,74,23,269,3187,3456
393,2012-01-28,2012,spring,January,Saturday,0,0,Good,13,16,54,14,775,3248,4023
394,2012-01-29,2012,spring,January,Sunday,0,0,Good,12,14,31,16,558,2685,3243
395,2012-01-30,2012,spring,January,Monday,0,1,Good,11,13,40,14,126,3498,3624
396,2012-01-31,2012,spring,January,Tuesday,0,1,Good,16,19,42,18,324,4185,4509
397,2012-02-01,2012,spring,February,Wednesday,0,1,Good,19,23,51,13,304,4275,4579
398,2012-02-02,2012,spring,February,Thursday,0,1,Clouds/Mist,16,20,67,13,190,3571,3761
399,2012-02-03,2012,spring,February,Friday,0,1,Good,13,15,53,12,310,3841,4151
400,2012-02-04,2012,spring,February,Saturday,0,0,Clouds/Mist,11,14,78,8,384,2448,2832
401,2012-02-05,2012,spring,February,Sunday,0,0,Clouds/Mist,11,13,69,12,318,2629,2947
402,2012-02-06,2012,spring,February,Monday,0,1,Good,12,15,62,10,206,3578,3784
403,2012-02-07,2012,spring,February,Tuesday,0,1,Good,15,18,50,10,199,4176,4375
404,2012-02-08,2012,spring,February,Wednesday,0,1,Clouds/Mist,11,13,72,9,109,2693,2802
405,2012-02-09,2012,spring,February,Thursday,0,1,Good,11,13,56,13,163,3667,3830
406,2012-02-10,2012,spring,February,Friday,0,1,Clouds/Mist,12,15,54,8,227,3604,3831
407,2012-02-11,2012,spring,February,Saturday,0,0,Rain/Snow/Storm,9,11,73,19,192,1977,2169
408,2012-02-12,2012,spring,February,Sunday,0,0,Good,5,5,46,27,73,1456,1529
409,2012-02-13,2012,spring,February,Monday,0,1,Good,9,11,41,11,94,3328,3422
410,2012-02-14,2012,spring,February,Tuesday,0,1,Clouds/Mist,13,17,51,9,135,3787,3922
411,2012-02-15,2012,spring,February,Wednesday,0,1,Good,14,18,53,12,141,4028,4169
412,2012-02-16,2012,spring,February,Thursday,0,1,Clouds/Mist,13,17,75,6,74,2931,3005
413,2012-02-17,2012,spring,February,Friday,0,1,Good,14,18,63,14,349,3805,4154
414,2012-02-18,2012,spring,February,Saturday,0,0,Good,14,18,53,13,1435,2883,4318
415,2012-02-19,2012,spring,February,Sunday,0,0,Clouds/Mist,11,13,52,17,618,2071,2689
416,2012-02-20,2012,spring,February,Monday,1,0,Good,11,14,51,15,502,2627,3129
417,2012-02-21,2012,spring,February,Tuesday,0,1,Good,12,15,59,14,163,3614,3777
418,2012-02-22,2012,spring,February,Wednesday,0,1,Good,16,20,57,16,394,4379,4773
419,2012-02-23,2012,spring,February,Thursday,0,1,Good,19,22,55,13,516,4546,5062
420,2012-02-24,2012,spring,February,Friday,0,1,Clouds/Mist,17,21,74,16,246,3241,3487
421,2012-02-25,2012,spring,February,Saturday,0,0,Good,12,13,40,28,317,2415,2732
422,2012-02-26,2012,spring,February,Sunday,0,0,Good,11,13,41,14,515,2874,3389
423,2012-02-27,2012,spring,February,Monday,0,1,Good,15,18,49,18,253,4069,4322
424,2012-02-28,2012,spring,February,Tuesday,0,1,Good,15,18,40,13,229,4134,4363
425,2012-02-29,2012,spring,February,Wednesday,0,1,Clouds/Mist,14,17,80,12,65,1769,1834
426,2012-03-01,2012,spring,March,Thursday,0,1,Good,20,24,62,15,325,4665,4990
427,2012-03-02,2012,spring,March,Friday,0,1,Clouds/Mist,14,18,66,10,246,2948,3194
428,2012-03-03,2012,spring,March,Saturday,0,0,Clouds/Mist,17,21,62,11,956,3110,4066
429,2012-03-04,2012,spring,March,Sunday,0,0,Good,13,15,40,22,710,2713,3423
430,2012-03-05,2012,spring,March,Monday,0,1,Good,10,12,51,15,203,3130,3333
431,2012-03-06,2012,spring,March,Tuesday,0,1,Good,11,13,46,13,221,3735,3956
432,2012-03-07,2012,spring,March,Wednesday,0,1,Good,17,19,51,23,432,4484,4916
433,2012-03-08,2012,spring,March,Thursday,0,1,Good,22,26,57,30,486,4896,5382
434,2012-03-09,2012,spring,March,Friday,0,1,Clouds/Mist,17,20,41,28,447,4122,4569
435,2012-03-10,2012,spring,March,Saturday,0,0,Good,12,14,35,15,968,3150,4118
436,2012-03-11,2012,spring,March,Sunday,0,0,Good,15,18,48,15,1658,3253,4911
437,2012-03-12,2012,spring,March,Monday,0,1,Good,19,23,49,14,838,4460,5298
438,2012-03-13,2012,spring,March,Tuesday,0,1,Good,23,27,62,16,762,5085,5847
439,2012-03-14,2012,spring,March,Wednesday,0,1,Good,23,27,51,8,997,5315,6312
440,2012-03-15,2012,spring,March,Thursday,0,1,Good,23,27,58,10,1005,5187,6192
441,2012-03-16,2012,spring,March,Friday,0,1,Clouds/Mist,18,22,84,8,548,3830,4378
442,2012-03-17,2012,spring,March,Saturday,0,0,Clouds/Mist,21,25,76,7,3155,4681,7836
443,2012-03-18,2012,spring,March,Sunday,0,0,Clouds/Mist,19,23,81,9,2207,3685,5892
444,2012-03-19,2012,spring,March,Monday,0,1,Good,22,27,73,11,982,5171,6153
445,2012-03-20,2012,spring,March,Tuesday,0,1,Good,23,27,81,8,1051,5042,6093
446,2012-03-21,2012,summer,March,Wednesday,0,1,Clouds/Mist,22,26,82,6,1122,5108,6230
447,2012-03-22,2012,summer,March,Thursday,0,1,Good,23,27,83,8,1334,5537,6871
448,2012-03-23,2012,summer,March,Friday,0,1,Clouds/Mist,25,29,69,8,2469,5893,8362
449,2012-03-24,2012,summer,March,Saturday,0,0,Clouds/Mist,21,24,89,13,1033,2339,3372
450,2012-03-25,2012,summer,March,Sunday,0,0,Clouds/Mist,18,22,88,15,1532,3464,4996
451,2012-03-26,2012,summer,March,Monday,0,1,Good,18,22,48,26,795,4763,5558
452,2012-03-27,2012,summer,March,Tuesday,0,1,Good,13,16,29,13,531,4571,5102
453,2012-03-28,2012,summer,March,Wednesday,0,1,Good,20,24,48,20,674,5024,5698
454,2012-03-29,2012,summer,March,Thursday,0,1,Good,20,24,44,21,834,5299,6133
455,2012-03-30,2012,summer,March,Friday,0,1,Clouds/Mist,15,19,58,9,796,4663,5459
456,2012-03-31,2012,summer,March,Saturday,0,0,Clouds/Mist,17,21,74,17,2301,3934,6235
457,2012-04-01,2012,summer,April,Sunday,0,0,Clouds/Mist,17,21,68,12,2347,3694,6041
458,2012-04-02,2012,summer,April,Monday,0,1,Good,18,21,50,21,1208,4728,5936
459,2012-04-03,2012,summer,April,Tuesday,0,1,Good,19,23,40,7,1348,5424,6772
460,2012-04-04,2012,summer,April,Wednesday,0,1,Good,22,27,47,12,1058,5378,6436
461,2012-04-05,2012,summer,April,Thursday,0,1,Good,18,22,37,15,1192,5265,6457
462,2012-04-06,2012,summer,April,Friday,0,1,Good,17,20,38,20,1807,4653,6460
463,2012-04-07,2012,summer,April,Saturday,0,0,Good,18,21,25,18,3252,3605,6857
464,2012-04-08,2012,summer,April,Sunday,0,0,Good,20,25,28,16,2230,2939,5169
465,2012-04-09,2012,summer,April,Monday,0,1,Good,20,24,32,24,905,4680,5585
466,2012-04-10,2012,summer,April,Tuesday,0,1,Good,18,22,44,17,819,5099,5918
467,2012-04-11,2012,summer,April,Wednesday,0,1,Good,14,17,47,20,482,4380,4862
468,2012-04-12,2012,summer,April,Thursday,0,1,Good,16,19,47,19,663,4746,5409
469,2012-04-13,2012,summer,April,Friday,0,1,Good,18,22,41,10,1252,5146,6398
470,2012-04-14,2012,summer,April,Saturday,0,0,Good,20,24,50,13,2795,4665,7460
471,2012-04-15,2012,summer,April,Sunday,0,0,Good,25,29,51,15,2846,4286,7132
472,2012-04-16,2012,summer,April,Monday,1,0,Good,27,31,56,19,1198,5172,6370
473,2012-04-17,2012,summer,April,Tuesday,0,1,Good,25,30,39,18,989,5702,6691
474,2012-04-18,2012,summer,April,Wednesday,0,1,Clouds/Mist,19,23,57,11,347,4020,4367
475,2012-04-19,2012,summer,April,Thursday,0,1,Good,20,25,61,4,846,5719,6565
476,2012-04-20,2012,summer,April,Friday,0,1,Good,22,26,69,10,1340,5950,7290
477,2012-04-21,2012,summer,April,Saturday,0,0,Good,23,27,68,19,2541,4083,6624
478,2012-04-22,2012,summer,April,Sunday,0,0,Rain/Snow/Storm,16,19,84,23,120,907,1027
479,2012-04-23,2012,summer,April,Monday,0,1,Clouds/Mist,13,15,77,20,195,3019,3214
480,2012-04-24,2012,summer,April,Tuesday,0,1,Good,17,20,45,17,518,5115,5633
481,2012-04-25,2012,summer,April,Wednesday,0,1,Good,20,24,43,8,655,5541,6196
482,2012-04-26,2012,summer,April,Thursday,0,1,Clouds/Mist,20,24,76,12,475,4551,5026
483,2012-04-27,2012,summer,April,Friday,0,1,Good,19,23,40,23,1014,5219,6233
484,2012-04-28,2012,summer,April,Saturday,0,0,Clouds/Mist,15,19,49,9,1120,3100,4220
485,2012-04-29,2012,summer,April,Sunday,0,0,Good,19,23,59,8,2229,4075,6304
486,2012-04-30,2012,summer,April,Monday,0,1,Clouds/Mist,19,23,57,11,665,4907,5572
487,2012-05-01,2012,summer,May,Tuesday,0,1,Clouds/Mist,25,29,66,10,653,5087,5740
488,2012-05-02,2012,summer,May,Wednesday,0,1,Good,23,27,80,9,667,5502,6169
489,2012-05-03,2012,summer,May,Thursday,0,1,Clouds/Mist,23,27,77,9,764,5657,6421
490,2012-05-04,2012,summer,May,Friday,0,1,Good,26,30,74,11,1069,5227,6296
491,2012-05-05,2012,summer,May,Saturday,0,0,Clouds/Mist,25,29,76,10,2496,4387,6883
492,2012-05-06,2012,summer,May,Sunday,0,0,Clouds/Mist,23,27,74,10,2135,4224,6359
493,2012-05-07,2012,summer,May,Monday,0,1,Clouds/Mist,22,26,66,15,1008,5265,6273
494,2012-05-08,2012,summer,May,Tuesday,0,1,Clouds/Mist,24,28,69,20,738,4990,5728
495,2012-05-09,2012,summer,May,Wednesday,0,1,Clouds/Mist,24,28,74,14,620,4097,4717
496,2012-05-10,2012,summer,May,Thursday,0,1,Good,21,25,55,21,1026,5546,6572
497,2012-05-11,2012,summer,May,Friday,0,1,Good,22,26,36,16,1319,5711,7030
498,2012-05-12,2012,summer,May,Saturday,0,0,Good,23,27,48,8,2622,4807,7429
499,2012-05-13,2012,summer,May,Sunday,0,0,Good,25,29,58,15,2172,3946,6118
500,2012-05-14,2012,summer,May,Monday,0,1,Clouds/Mist,24,27,79,14,342,2501,2843
501,2012-05-15,2012,summer,May,Tuesday,0,1,Clouds/Mist,25,29,79,10,625,4490,5115
502,2012-05-16,2012,summer,May,Wednesday,0,1,Good,26,30,70,8,991,6433,7424
503,2012-05-17,2012,summer,May,Thursday,0,1,Good,24,29,52,15,1242,6142,7384
504,2012-05-18,2012,summer,May,Friday,0,1,Good,23,28,52,9,1521,6118,7639
505,2012-05-19,2012,summer,May,Saturday,0,0,Good,25,28,46,6,3410,4884,8294
506,2012-05-20,2012,summer,May,Sunday,0,0,Good,25,29,53,17,2704,4425,7129
507,2012-05-21,2012,summer,May,Monday,0,1,Clouds/Mist,25,28,81,16,630,3729,4359
508,2012-05-22,2012,summer,May,Tuesday,0,1,Clouds/Mist,25,29,77,8,819,5254,6073
509,2012-05-23,2012,summer,May,Wednesday,0,1,Clouds/Mist,25,29,77,7,766,4494,5260
510,2012-05-24,2012,summer,May,Thursday,0,1,Good,27,30,72,12,1059,5711,6770
511,2012-05-25,2012,summer,May,Friday,0,1,Good,28,31,75,9,1417,5317,6734
512,2012-05-26,2012,summer,May,Saturday,0,0,Good,28,32,73,13,2855,3681,6536
513,2012-05-27,2012,summer,May,Sunday,0,0,Good,28,32,70,14,3283,3308,6591
514,2012-05-28,2012,summer,May,Monday,1,0,Good,29,34,68,13,2557,3486,6043
515,2012-05-29,2012,summer,May,Tuesday,0,1,Good,30,34,68,20,880,4863,5743
516,2012-05-30,2012,summer,May,Wednesday,0,1,Clouds/Mist,27,31,67,9,745,6110,6855
517,2012-05-31,2012,summer,May,Thursday,0,1,Good,28,32,49,13,1100,6238,7338
518,2012-06-01,2012,summer,June,Friday,0,1,Clouds/Mist,27,30,76,16,533,3594,4127
519,2012-06-02,2012,summer,June,Saturday,0,0,Good,24,28,55,12,2795,5325,8120
520,2012-06-03,2012,summer,June,Sunday,0,0,Good,25,29,49,12,2494,5147,7641
521,2012-06-04,2012,summer,June,Monday,0,1,Good,24,29,49,19,1071,5927,6998
522,2012-06-05,2012,summer,June,Tuesday,0,1,Clouds/Mist,22,26,61,14,968,6033,7001
523,2012-06-06,2012,summer,June,Wednesday,0,1,Good,23,27,61,5,1027,6028,7055
524,2012-06-07,2012,summer,June,Thursday,0,1,Good,25,28,57,11,1038,6456,7494
525,2012-06-08,2012,summer,June,Friday,0,1,Good,27,30,47,12,1488,6248,7736
526,2012-06-09,2012,summer,June,Saturday,0,0,Good,29,32,44,10,2708,4790,7498
527,2012-06-10,2012,summer,June,Sunday,0,0,Good,30,33,54,9,2224,4374,6598
528,2012-06-11,2012,summer,June,Monday,0,1,Clouds/Mist,30,33,59,14,1017,5647,6664
529,2012-06-12,2012,summer,June,Tuesday,0,1,Clouds/Mist,27,30,83,14,477,4495,4972
530,2012-06-13,2012,summer,June,Wednesday,0,1,Good,27,31,58,23,1173,6248,7421
531,2012-06-14,2012,summer,June,Thursday,0,1,Good,27,31,57,17,1180,6183,7363
532,2012-06-15,2012,summer,June,Friday,0,1,Good,26,30,59,12,1563,6102,7665
533,2012-06-16,2012,summer,June,Saturday,0,0,Good,26,30,50,11,2963,4739,7702
534,2012-06-17,2012,summer,June,Sunday,0,0,Good,24,29,60,10,2634,4344,6978
535,2012-06-18,2012,summer,June,Monday,0,1,Clouds/Mist,23,27,78,12,653,4446,5099
536,2012-06-19,2012,summer,June,Tuesday,0,1,Good,28,33,69,10,968,5857,6825
537,2012-06-20,2012,summer,June,Wednesday,0,1,Good,32,36,59,8,872,5339,6211
538,2012-06-21,2012,fall,June,Thursday,0,1,Good,33,38,57,8,778,5127,5905
539,2012-06-22,2012,fall,June,Friday,0,1,Good,32,36,57,12,964,4859,5823
540,2012-06-23,2012,fall,June,Saturday,0,0,Good,30,33,53,12,2657,4801,7458
541,2012-06-24,2012,fall,June,Sunday,0,0,Good,30,34,48,10,2551,4340,6891
542,2012-06-25,2012,fall,June,Monday,0,1,Good,29,33,50,20,1139,5640,6779
543,2012-06-26,2012,fall,June,Tuesday,0,1,Good,26,30,37,23,1077,6365,7442
544,2012-06-27,2012,fall,June,Wednesday,0,1,Good,29,32,36,18,1077,6258,7335
545,2012-06-28,2012,fall,June,Thursday,0,1,Good,31,34,42,12,921,5958,6879
546,2012-06-29,2012,fall,June,Friday,0,1,Good,34,39,49,11,829,4634,5463
547,2012-06-30,2012,fall,June,Saturday,0,0,Good,31,34,60,11,1455,4232,5687
548,2012-07-01,2012,fall,July,Sunday,0,0,Good,33,38,52,11,1421,4110,5531
549,2012-07-02,2012,fall,July,Monday,0,1,Good,32,35,45,13,904,5323,6227
550,2012-07-03,2012,fall,July,Tuesday,0,1,Good,32,35,49,8,1052,5608,6660
551,2012-07-04,2012,fall,July,Wednesday,1,0,Good,32,37,54,9,2562,4841,7403
552,2012-07-05,2012,fall,July,Thursday,0,1,Good,34,38,46,13,1405,4836,6241
553,2012-07-06,2012,fall,July,Friday,0,1,Good,34,38,45,10,1366,4841,6207
554,2012-07-07,2012,fall,July,Saturday,0,0,Good,35,40,49,11,1448,3392,4840
555,2012-07-08,2012,fall,July,Sunday,0,0,Good,34,40,57,8,1203,3469,4672
556,2012-07-09,2012,fall,July,Monday,0,1,Clouds/Mist,29,33,68,12,998,5571,6569
557,2012-07-10,2012,fall,July,Tuesday,0,1,Clouds/Mist,30,33,67,10,954,5336,6290
558,2012-07-11,2012,fall,July,Wednesday,0,1,Good,29,33,63,10,975,6289,7264
559,2012-07-12,2012,fall,July,Thursday,0,1,Good,29,33,53,10,1032,6414,7446
560,2012-07-13,2012,fall,July,Friday,0,1,Clouds/Mist,30,33,49,5,1511,5988,7499
561,2012-07-14,2012,fall,July,Saturday,0,0,Clouds/Mist,29,33,70,10,2355,4614,6969
562,2012-07-15,2012,fall,July,Sunday,0,0,Good,31,35,72,11,1920,4111,6031
563,2012-07-16,2012,fall,July,Monday,0,1,Good,31,36,64,11,1088,5742,6830
564,2012-07-17,2012,fall,July,Tuesday,0,1,Good,34,38,51,8,921,5865,6786
565,2012-07-18,2012,fall,July,Wednesday,0,1,Good,33,37,58,9,799,4914,5713
566,2012-07-19,2012,fall,July,Thursday,0,1,Good,32,36,60,11,888,5703,6591
567,2012-07-20,2012,fall,July,Friday,0,1,Clouds/Mist,27,31,84,14,747,5123,5870
568,2012-07-21,2012,fall,July,Saturday,0,0,Rain/Snow/Storm,24,27,87,14,1264,3195,4459
569,2012-07-22,2012,fall,July,Sunday,0,0,Clouds/Mist,27,31,76,6,2544,4866,7410
570,2012-07-23,2012,fall,July,Monday,0,1,Good,30,35,69,9,1135,5831,6966
571,2012-07-24,2012,fall,July,Tuesday,0,1,Good,31,35,66,14,1140,6452,7592
572,2012-07-25,2012,fall,July,Wednesday,0,1,Good,30,33,45,11,1383,6790,8173
573,2012-07-26,2012,fall,July,Thursday,0,1,Good,32,37,60,19,1036,5825,6861
574,2012-07-27,2012,fall,July,Friday,0,1,Good,32,37,59,10,1259,5645,6904
575,2012-07-28,2012,fall,July,Saturday,0,0,Good,31,35,61,11,2234,4451,6685
576,2012-07-29,2012,fall,July,Sunday,0,0,Good,30,33,62,11,2153,4444,6597
577,2012-07-30,2012,fall,July,Monday,0,1,Good,30,34,67,10,1040,6065,7105
578,2012-07-31,2012,fall,July,Tuesday,0,1,Good,29,33,70,11,968,6248,7216
579,2012-08-01,2012,fall,August,Wednesday,0,1,Good,29,33,68,9,1074,6506,7580
580,2012-08-02,2012,fall,August,Thursday,0,1,Good,31,35,66,9,983,6278,7261
581,2012-08-03,2012,fall,August,Friday,0,1,Clouds/Mist,31,36,64,14,1328,5847,7175
582,2012-08-04,2012,fall,August,Saturday,0,0,Good,33,38,61,17,2345,4479,6824
583,2012-08-05,2012,fall,August,Sunday,0,0,Good,32,37,65,19,1707,3757,5464
584,2012-08-06,2012,fall,August,Monday,0,1,Clouds/Mist,31,36,65,9,1233,5780,7013
585,2012-08-07,2012,fall,August,Tuesday,0,1,Clouds/Mist,30,35,70,8,1278,5995,7273
586,2012-08-08,2012,fall,August,Wednesday,0,1,Clouds/Mist,31,35,67,7,1263,6271,7534
