cmedv,age,b,chas,crim,dis,indus,lat,lon,lstat,nox,ptratio,rad,rm,tax,town,tract,zn
22.5,72.7,389.43,0,0.25199,4.3549,10.59,42.2268,-71.149,18.06,0.489,18.6,4,5.783,277,Waltham,3683,0
24.4,59.1,381.32,1,0.13587,4.2392,10.59,42.222,-71.1503,14.66,0.489,18.6,4,6.064,277,Waltham,3684,0
20,100,396.9,1,0.43571,3.875,10.59,42.2217,-71.143,23.09,0.489,18.6,4,5.344,277,Waltham,3685,0
21.7,92.1,393.25,1,0.17446,3.8771,10.59,42.2177,-71.1435,17.27,0.489,18.6,4,5.96,277,Waltham,3686,0
19.3,88.6,395.24,1,0.37578,3.665,10.59,42.2216,-71.138,23.98,0.489,18.6,4,5.404,277,Waltham,3687,0
22.4,53.8,390.94,1,0.21719,3.6526,10.59,42.225,-71.1335,16.03,0.489,18.6,4,5.807,277,Waltham,3688,0
28.1,32.3,385.81,0,0.14052,3.9454,10.59,42.2355,-71.1375,9.38,0.489,18.6,4,6.375,277,Waltham,3689,0
23.7,9.8,348.93,0,0.28955,3.5875,10.59,42.235,-71.127,29.55,0.489,18.6,4,5.412,277,Waltham,3690,0
25,42.4,393.63,0,0.19802,3.9454,10.59,42.2277,-71.1245,9.47,0.489,18.6,4,6.182,277,Waltham,3691,0
23.3,56,392.8,1,0.0456,3.1121,13.89,42.223,-71.1166,13.51,0.55,16.4,5,5.888,276,Watertown,3701,0
28.7,85.1,392.78,0,0.07013,3.4211,13.89,42.2235,-71.105,9.69,0.55,16.4,5,6.642,276,Watertown,3702,0
21.5,93.8,396.9,1,0.11069,2.8893,13.89,42.222,-71.0933,17.92,0.55,16.4,5,5.951,276,Watertown,3703,0
23,92.4,393.74,1,0.11425,3.3633,13.89,42.2185,-71.106,10.5,0.55,16.4,5,6.373,276,Watertown,3704,0
26.7,88.5,391.7,1,0.35809,2.8617,6.2,42.2137,-71.11,9.71,0.507,17.4,8,6.951,307,Newton,3731,0
21.7,91.3,395.24,1,0.40771,3.048,6.2,42.2166,-71.121,21.46,0.507,17.4,8,6.164,307,Newton,3732,0
27.5,77.7,390.39,1,0.62356,3.2721,6.2,42.2134,-71.125,9.93,0.507,17.4,8,6.879,307,Newton,3733,0
30.1,80.8,396.9,0,0.6147,3.2721,6.2,42.2183,-71.1208,7.6,0.507,17.4,8,6.618,307,Newton,3734,0
44.8,78.3,385.05,0,0.31533,2.8944,6.2,42.206,-71.11,4.14,0.504,17.4,8,8.266,307,Newton,3735,0
50,83,382,0,0.52693,2.8944,6.2,42.1975,-71.1012,4.63,0.504,17.4,8,8.725,307,Newton,3736,0
37.6,86.5,387.38,0,0.38214,3.2157,6.2,42.2025,-71.1215,3.13,0.504,17.4,8,8.04,307,Newton,3737,0
31.6,79.9,372.08,0,0.41238,3.2157,6.2,42.1947,-71.116,6.36,0.504,17.4,8,7.163,307,Newton,3738,0
46.7,17,377.51,0,0.29819,3.3751,6.2,42.185,-71.11,3.92,0.504,17.4,8,7.686,307,Newton,3739,0
31.5,21.4,380.34,0,0.44178,3.3751,6.2,42.1807,-71.119,3.76,0.504,17.4,8,6.552,307,Newton,3740,0
24.3,68.1,378.35,0,0.537,3.6715,6.2,42.188,-71.13,11.65,0.504,17.4,8,5.981,307,Newton,3741,0
31.7,76.9,376.14,0,0.46296,3.6715,6.2,42.193,-71.1285,5.25,0.504,17.4,8,7.412,307,Newton,3742,0
41.7,73.3,385.91,0,0.57529,3.8384,6.2,42.1946,-71.14,2.47,0.507,17.4,8,8.337,307,Newton,3743,0
48.3,70.4,378.95,0,0.33147,3.6519,6.2,42.204,-71.134,3.95,0.507,17.4,8,8.247,307,Newton,3744,0
29,66.5,360.2,1,0.44791,3.6519,6.2,42.2142,-71.132,8.05,0.507,17.4,8,6.726,307,Newton,3745,0
24,61.5,376.75,0,0.33045,3.6519,6.2,42.2141,-71.138,10.88,0.507,17.4,8,6.086,307,Newton,3746,0
25.1,76.5,388.45,1,0.52058,4.148,6.2,42.211,-71.1485,9.54,0.507,17.4,8,6.631,307,Newton,3747,0
31.5,71.6,390.07,0,0.51183,4.148,6.2,42.203,-71.1491,4.73,0.507,17.4,8,7.358,307,Newton,3748,0
23.7,18.5,379.41,0,0.08244,6.1899,4.93,42.1875,-71.2055,6.36,0.428,16.6,6,6.481,300,Natick,3821,30
23.3,42.2,383.78,0,0.09252,6.1899,4.93,42.187,-71.2035,7.37,0.428,16.6,6,6.606,300,Natick,3822,30
27,54.3,391.25,0,0.11329,6.3361,4.93,42.164,-71.1966,11.38,0.428,16.6,6,6.897,300,Natick,3823,30
20.1,65.1,394.62,0,0.10612,6.3361,4.93,42.1645,-71.2138,12.4,0.428,16.6,6,6.095,300,Natick,3824,30
22.2,52.9,372.75,0,0.1029,7.0355,4.93,42.1782,-71.22,11.22,0.428,16.6,6,6.358,300,Natick,3825,30
23.7,7.8,374.71,0,0.12757,7.0355,4.93,42.1725,-71.232,5.19,0.428,16.6,6,6.393,300,Natick,3826,30
17.6,76.5,372.49,0,0.20608,7.9549,5.86,42.163,-71.2435,12.5,0.431,19.1,7,5.593,330,Framingham,3831,22
18.5,70.2,389.13,0,0.19133,7.9549,5.86,42.1618,-71.2575,18.46,0.431,19.1,7,5.605,330,Framingham,3832,22
24.3,34.9,390.18,0,0.33983,8.0555,5.86,42.169,-71.262,9.16,0.431,19.1,7,6.108,330,Framingham,3833,22
20.5,79.2,376.14,0,0.19657,8.0555,5.86,42.1703,-71.247,10.15,0.431,19.1,7,6.226,330,Framingham,3834,22
24.5,49.1,374.71,0,0.16439,7.8265,5.86,42.1767,-71.255,9.52,0.431,19.1,7,6.433,330,Framingham,3835,22
26.2,17.5,393.74,0,0.19073,7.8265,5.86,42.1825,-71.2475,6.56,0.431,19.1,7,6.718,330,Framingham,3836,22
24.4,13,396.28,0,0.1403,7.3967,5.86,42.191,-71.238,5.9,0.431,19.1,7,6.487,330,Framingham,3837,22
24.8,8.9,377.07,0,0.21409,7.3967,5.86,42.1982,-71.2435,3.59,0.431,19.1,7,6.438,330,Framingham,3838,22
29.6,6.8,386.09,0,0.08221,8.9067,5.86,42.1935,-71.2685,3.53,0.431,19.1,7,6.957,330,Framingham,3839,22
42.8,8.4,396.9,0,0.36894,8.9067,5.86,42.1727,-71.2807,3.54,0.431,19.1,7,8.259,330,Framingham,3840,22
21.9,32,392.89,0,0.04819,9.2203,3.64,42.1575,-71.2895,6.57,0.392,16.4,1,6.108,315,Ashland,3851,80
20.9,19.1,395.18,0,0.03548,9.2203,3.64,42.1482,-71.269,9.25,0.392,16.4,1,5.876,315,Ashland,3852,80
44,34.2,386.34,0,0.01538,6.3361,3.75,42.145,-71.223,3.11,0.394,15.9,3,7.454,244,Sherborn,3861,90
50,86.9,389.7,0,0.61154,1.801,3.97,42.2073,-71.0679,5.12,0.647,13,5,8.704,264,Brookline,4001,20
36,100,383.29,0,0.66351,1.8946,3.97,42.2077,-71.0727,7.79,0.647,13,5,7.333,264,Brookline,4002,20
30.1,100,391.93,0,0.65665,2.0107,3.97,42.2075,-71.0765,6.9,0.647,13,5,6.842,264,Brookline,4003,20
33.8,81.8,392.8,0,0.54011,2.1121,3.97,42.204,-71.08,9.59,0.647,13,5,7.203,264,Brookline,4004,20
43.1,89.4,388.37,0,0.53412,2.1398,3.97,42.202,-71.079,7.26,0.647,13,5,7.52,264,Brookline,4005,20
48.8,91.5,386.86,0,0.52014,2.2885,3.97,42.2,-71.0835,5.91,0.647,13,5,8.398,264,Brookline,4006,20
31,94.5,393.42,0,0.82526,2.0788,3.97,42.198,-71.075,11.25,0.647,13,5,7.327,264,Brookline,4007,20
36.5,91.6,387.89,0,0.55007,1.9301,3.97,42.203,-71.071,8.1,0.647,13,5,7.206,264,Brookline,4008,20
22.8,62.8,392.4,0,0.76162,1.9865,3.97,42.2,-71.07,10.45,0.647,13,5,5.56,264,Brookline,4009,20
30.7,84.6,384.07,0,0.7857,2.1329,3.97,42.1965,-71.0725,14.79,0.647,13,5,7.014,264,Brookline,4010,20
50,67,384.54,0,0.57834,2.4216,3.97,42.1925,-71.085,7.44,0.575,13,5,8.297,264,Brookline,4011,20
43.5,52.6,390.3,0,0.5405,2.872,3.97,42.2075,-71.0925,3.16,0.575,13,5,7.47,264,Brookline,4012,20
20.7,61.5,391.34,1,0.09065,3.9175,6.96,42.154,-71.098,13.65,0.464,18.6,3,5.92,223,Dedham,4021,20
21.1,42.1,388.65,0,0.29916,4.429,6.96,42.141,-71.087,13,0.464,18.6,3,5.856,223,Dedham,4022,20
25.2,16.3,396.9,0,0.16211,4.429,6.96,42.1355,-71.094,6.59,0.464,18.6,3,6.24,223,Dedham,4023,20
24.4,58.7,394.96,0,0.1146,3.9175,6.96,42.1445,-71.0982,7.73,0.464,18.6,3,6.538,223,Dedham,4024,20
35.2,51.8,390.77,1,0.22188,4.3665,6.96,42.151,-71.117,6.58,0.464,18.6,3,7.691,223,Dedham,4025,20
32.4,32.9,396.9,1,0.05644,4.0776,6.41,42.1675,-71.1305,3.53,0.447,17.6,4,6.758,254,Needham,4031,40
32,42.8,396.9,0,0.09604,4.2673,6.41,42.1733,-71.138,2.98,0.447,17.6,4,6.854,254,Needham,4032,40
33.2,49,389.25,1,0.10469,4.7872,6.41,42.1632,-71.1405,6.05,0.447,17.6,4,7.267,254,Needham,4033,40
33.1,27.6,393.45,1,0.06127,4.8628,6.41,42.173,-71.1495,4.16,0.447,17.6,4,6.826,254,Needham,4034,40
29.1,32.1,396.9,0,0.07978,4.1403,6.41,42.1813,-71.1395,7.19,0.447,17.6,4,6.482,254,Needham,4035,40
35.1,32.2,396.9,0,0.21038,4.1007,3.33,42.188,-71.148,4.85,0.4429,14.9,5,6.812,216,Wellesley,4041,20
45.4,64.5,387.31,0,0.03578,4.6947,3.33,42.187,-71.166,3.76,0.4429,14.9,5,7.82,216,Wellesley,4042,20
35.4,37.2,392.23,0,0.03705,5.2447,3.33,42.1848,-71.185,4.59,0.4429,14.9,5,6.968,216,Wellesley,4043,20
46,49.7,377.07,1,0.06129,5.2119,3.33,42.1735,-71.1775,3.01,0.4429,14.9,5,7.645,216,Wellesley,4044,20
50,24.8,395.52,1,0.01501,5.885,1.21,42.1475,-71.173,3.16,0.401,13.6,1,7.923,198,Dover,4051,90
32.2,20.8,394.72,0,0.00906,7.3073,2.97,42.1105,-71.18,7.85,0.4,15.3,1,7.088,285,Medfield,4061,90
22,31.9,394.72,0,0.01096,7.3073,2.25,42.1,-71.2135,8.23,0.389,15.3,1,6.453,300,Millis,4071,55
20.1,31.5,341.6,0,0.01965,9.0892,1.76,42.0675,-71.195,12.93,0.385,18.2,1,6.23,241,Norfolk,4091,80
23.2,31.3,396.9,0,0.03871,7.3172,5.32,42.0775,-71.148,7.14,0.405,16.6,6,6.209,293,Walpole,4111,52.5
22.3,45.6,396.9,0,0.0459,7.3172,5.32,42.094,-71.1325,7.6,0.405,16.6,6,6.315,293,Walpole,4112,52.5
24.8,22.9,371.72,0,0.04297,7.3172,5.32,42.098,-71.155,9.51,0.405,16.6,6,6.565,293,Walpole,4113,52.5
28.5,27.9,396.9,0,0.03502,5.1167,4.95,42.1235,-71.1385,3.33,0.411,19.2,4,6.861,245,Westwood,4121,80
37.3,27.7,396.9,0,0.07886,5.1167,4.95,42.1408,-71.133,3.56,0.411,19.2,4,7.148,245,Westwood,4122,80
27.9,23.4,396.9,0,0.03615,5.1167,4.95,42.1307,-71.107,4.7,0.411,19.2,4,6.63,245,Westwood,4123,80
23.9,18.4,396.9,0,0.08265,5.5027,13.92,42.11,-71.109,8.58,0.437,16,4,6.127,289,Norwood,4131,0
21.7,42.3,396.9,0,0.08199,5.5027,13.92,42.1217,-71.118,10.4,0.437,16,4,6.009,289,Norwood,4132,0
28.6,31.1,396.9,0,0.12932,5.9604,13.92,42.1166,-71.1309,6.27,0.437,16,4,6.678,289,Norwood,4133,0
27.1,51,392.85,0,0.05372,5.9604,13.92,42.1108,-71.128,7.39,0.437,16,4,6.549,289,Norwood,4134,0
20.3,58,396.9,0,0.14103,6.32,13.92,42.1025,-71.121,15.84,0.437,16,4,5.79,289,Norwood,4135,0
22.5,20.1,368.24,0,0.06466,7.8278,2.24,42.0725,-71.12,4.97,0.4,14.8,5,6.345,358,Sharon,4141,70
29,10,371.58,0,0.05561,7.8278,2.24,42.059,-71.1,4.74,0.4,14.8,5,7.041,358,Sharon,4142,70
24.8,47.4,390.86,0,0.04417,7.8278,2.24,42.0735,-71.1035,6.07,0.4,14.8,5,6.871,358,Sharon,4143,70
22,40.4,395.75,0,0.03537,5.4917,6.09,42.095,-71.0875,9.5,0.433,16.1,7,6.59,329,Canton,4151,34
26.4,18.4,383.61,0,0.09266,5.4917,6.09,42.102,-71.0625,8.67,0.433,16.1,7,6.495,329,Canton,4152,34
33.1,17.7,390.43,0,0.1,5.4917,6.09,42.12,-71.0865,4.86,0.433,16.1,7,6.982,329,Canton,4153,34
36.1,41.1,393.68,0,0.05515,4.022,2.18,42.145,-71.0465,6.93,0.472,18.4,7,7.236,222,Milton,4161,33
28.4,58.1,393.36,0,0.05479,3.37,2.18,42.1525,-71.057,8.93,0.472,18.4,7,6.616,222,Milton,4162,33
33.4,71.9,396.9,0,0.07503,3.0992,2.18,42.159,-71.045,6.47,0.472,18.4,7,7.42,222,Milton,4163,33
28.2,70.3,396.9,0,0.04932,3.1827,2.18,42.1565,-71.028,7.53,0.472,18.4,7,6.849,222,Milton,4164,33
22.8,82.5,396.9,0,0.49298,3.3175,9.9,42.1555,-71.0138,4.54,0.544,18.4,4,6.635,304,Quincy,4171,0
20.3,76.7,396.24,0,0.3494,3.1025,9.9,42.16,-71.0201,9.97,0.544,18.4,4,5.972,304,Quincy,4172,0
16.1,37.8,350.45,0,2.63548,2.5194,9.9,42.176,-71.016,12.64,0.544,18.4,4,4.973,304,Quincy,4173,0
22.1,52.8,396.9,0,0.79041,2.6403,9.9,42.178,-71.0075,5.98,0.544,18.4,4,6.122,304,Quincy,4174,0
19.4,90.4,396.3,0,0.26169,2.834,9.9,42.167,-71.015,11.72,0.544,18.4,4,6.023,304,Quincy,4175,0
21.6,82.8,393.39,0,0.26938,3.2628,9.9,42.1613,-71.0075,7.9,0.544,18.4,4,6.266,304,Quincy,4176,0
23.8,87.3,395.69,0,0.3692,3.6023,9.9,42.153,-71,9.28,0.544,18.4,4,6.567,304,Quincy,4177,0
16.2,77.7,396.42,0,0.25356,3.945,9.9,42.158,-70.9795,11.5,0.544,18.4,4,5.705,304,Quincy,4178,0
17.8,83.2,390.7,0,0.31827,3.9986,9.9,42.1485,-70.988,18.33,0.544,18.4,4,5.914,304,Quincy,4179,0
19.8,71.7,396.9,0,0.24522,4.0317,9.9,42.1425,-71.004,15.94,0.544,18.4,4,5.782,304,Quincy,4180,0
23.1,67.2,395.21,0,0.40202,3.5325,9.9,42.15,-71.01,10.36,0.544,18.4,4,6.382,304,Quincy,4181,0
21,58.8,396.23,0,0.47547,4.0019,9.9,42.151,-71.02,12.73,0.544,18.4,4,6.113,304,Quincy,4182,0
23.8,52.3,396.9,0,0.1676,4.5404,7.38,42.129,-71.0085,7.2,0.493,19.6,5,6.426,287,Braintree,4191,0
23.1,54.3,396.9,0,0.18159,4.5404,7.38,42.134,-70.9975,6.87,0.493,19.6,5,6.376,287,Braintree,4192,0
20.4,49.9,396.9,0,0.35114,4.7211,7.38,42.1367,-70.99,7.7,0.493,19.6,5,6.041,287,Braintree,4193,0
18.5,74.3,391.13,0,0.28392,4.7211,7.38,42.1375,-70.9834,11.74,0.493,19.6,5,5.708,287,Braintree,4194,0
25,40.1,396.9,0,0.34109,4.7211,7.38,42.1265,-70.9895,6.12,0.493,19.6,5,6.415,287,Braintree,4195,0
24.6,14.7,393.68,0,0.19186,5.4159,7.38,42.1066,-71,5.08,0.493,19.6,5,6.431,287,Braintree,4196,0
23,28.9,396.9,0,0.30347,5.4159,7.38,42.1175,-70.9995,6.15,0.493,19.6,5,6.312,287,Braintree,4197,0
22.2,43.7,396.9,0,0.24103,5.4159,7.38,42.1215,-71.01,12.79,0.493,19.6,5,6.083,287,Braintree,4198,0
19.3,25.8,382.44,0,0.06617,5.2146,3.24,42.113,-71.0275,9.97,0.46,16.9,4,5.868,430,Randolph,4201,0
22.6,17.2,375.21,0,0.06724,5.2146,3.24,42.115,-71.0415,7.34,0.46,16.9,4,6.333,430,Randolph,4202,0
19.8,32.2,368.57,0,0.04544,5.8736,3.24,42.098,-71.025,9.09,0.46,16.9,4,6.144,430,Randolph,4203,0
17.1,28.4,394.02,0,0.05023,6.6407,6.06,42.0865,-71.0115,12.43,0.4379,16.9,1,5.706,304,Holbrook,4211,35
19.4,23.3,362.25,0,0.03466,6.6407,6.06,42.0895,-70.996,7.83,0.4379,16.9,1,6.031,304,Holbrook,4212,35
22.2,38.1,389.71,0,0.05083,6.4584,5.19,42.0995,-70.9795,5.68,0.515,20.2,5,6.316,224,Weymouth,4221,0
20.7,38.5,389.4,0,0.03738,6.4584,5.19,42.101,-70.965,6.75,0.515,20.2,5,6.31,224,Weymouth,4222,0
21.1,34.5,396.9,0,0.03961,5.9853,5.19,42.115,-70.97,8.01,0.515,20.2,5,6.037,224,Weymouth,4223,0
19.5,46.3,396.9,0,0.03427,5.2311,5.19,42.128,-70.976,9.8,0.515,20.2,5,5.869,224,Weymouth,4224,0
18.5,59.6,394.81,0,0.03041,5.615,5.19,42.127,-70.9602,10.56,0.515,20.2,5,5.895,224,Weymouth,4225,0
20.6,37.3,396.14,0,0.03306,4.8122,5.19,42.1374,-70.9633,8.51,0.515,20.2,5,6.059,224,Weymouth,4226,0
19,45.4,396.9,0,0.05497,4.8122,5.19,42.144,-70.9675,9.74,0.515,20.2,5,5.985,224,Weymouth,4227,0
18.7,58.5,396.9,0,0.06151,4.8122,5.19,42.1503,-70.965,9.29,0.515,20.2,5,5.968,224,Weymouth,4228,0
32.7,49.3,394.74,0,0.01301,7.0379,1.52,42.1465,-70.8875,5.49,0.442,15.5,1,7.241,284,Cohasset,4231,35
16.5,59.7,389.96,0,0.02498,6.2669,1.89,42.16,-70.915,8.65,0.518,15.9,1,6.54,422,Hull,5001,0
23.9,56.4,396.9,0,0.02543,5.7321,3.78,42.1475,-70.937,7.18,0.484,17.6,5,6.696,370,Hingham,5011,55
31.2,28.1,387.97,0,0.03049,6.4654,3.78,42.123,-70.9325,4.61,0.484,17.6,5,6.874,370,Hingham,5012,55
17.5,48.5,385.64,0,0.03113,8.0136,4.39,42.0725,-70.947,10.53,0.442,18.8,3,6.014,352,Rockland,5021,0
17.2,52.3,364.61,0,0.06162,8.0136,4.39,42.0825,-70.9501,12.67,0.442,18.8,3,5.898,352,Rockland,5022,0
23.1,27.7,392.43,0,0.0187,8.5353,4.15,42.0795,-70.9275,6.36,0.429,17.9,4,6.516,351,Hanover,5031,85
24.5,29.7,390.94,0,0.01501,8.344,2.01,42.1016,-70.92,5.99,0.435,17,4,6.635,280,Norwell,5041,80
26.6,34.5,389.85,0,0.02899,8.7921,1.25,42.13,-70.855,5.89,0.429,19.7,1,6.939,335,Scituate,5051,40
22.9,44.4,396.9,0,0.06211,8.7921,1.25,42.115,-70.833,5.98,0.429,19.7,1,6.49,335,Scituate,5052,40
24.1,35.9,370.78,0,0.0795,10.7103,1.69,42.0775,-70.83,5.49,0.411,18.3,4,6.579,411,Marshfield,5061,60
18.6,18.5,392.33,0,0.07244,10.7103,1.69,42.059,-70.81,7.79,0.411,18.3,4,5.884,411,Marshfield,5062,60
30.1,36.1,384.46,0,0.01709,12.1265,2.02,42.0485,-70.83,4.5,0.41,17,5,6.728,187,Duxbury,5071,90
18.2,21.9,382.8,0,0.04301,10.5857,1.91,42.052,-70.853,8.05,0.413,22,4,5.663,334,Pembroke,5081,80
20.6,19.5,376.04,0,0.10659,10.5857,1.91,42.03,-70.8525,5.57,0.413,22,4,5.936,334,Pembroke,5082,80
17.8,97.4,377.73,1,8.98296,2.1222,18.1,42.2172,-71.083,17.6,0.77,20.2,24,6.212,666,Boston Allston-Brighton,1,0
21.7,91,391.34,1,3.8497,2.5052,18.1,42.212,-71.095,13.27,0.77,20.2,24,6.395,666,Boston Allston-Brighton,2,0
22.7,83.4,395.43,1,5.20177,2.7227,18.1,42.21,-71.1007,11.48,0.77,20.2,24,6.127,666,Boston Allston-Brighton,3,0
22.6,81.3,390.74,0,4.26131,2.5091,18.1,42.207,-71.093,12.67,0.77,20.2,24,6.112,666,Boston Allston-Brighton,4,0
25,88,374.56,0,4.54192,2.5182,18.1,42.2033,-71.0905,7.79,0.77,20.2,24,6.398,666,Boston Allston-Brighton,5,0
19.9,91.1,350.65,0,3.83684,2.2955,18.1,42.21,-71.0865,14.19,0.77,20.2,24,6.251,666,Boston Allston-Brighton,6,0
20.8,96.2,380.79,0,3.67822,2.1036,18.1,42.208,-71.081,10.19,0.77,20.2,24,5.362,666,Boston Allston-Brighton,7,0
16.8,89,353.04,1,4.22239,1.9047,18.1,42.215,-71.0865,14.64,0.77,20.2,24,5.803,666,Boston Allston-Brighton,8,0
21.9,82.9,354.55,1,3.47428,1.9047,18.1,42.2098,-71.059,5.29,0.718,20.2,24,8.78,666,Boston Back Bay,101,0
27.5,87.9,354.7,0,4.55587,1.6132,18.1,42.2075,-71.0595,7.12,0.718,20.2,24,3.561,666,Boston Back Bay,102,0
21.9,91.4,316.03,0,3.69695,1.7523,18.1,42.2052,-71.054,14,0.718,20.2,24,4.963,666,Boston Back Bay,104,0
23.1,100,131.42,0,13.5222,1.5106,18.1,42.207,-71.0508,13.33,0.631,20.2,24,3.863,666,Boston Back Bay,105,0
50,100,375.52,0,4.89822,1.3325,18.1,42.2105,-71.048,3.26,0.631,20.2,24,4.97,666,Boston Back Bay,107,0
50,96.8,375.33,1,5.66998,1.3567,18.1,42.2125,-71.0497,3.73,0.631,20.2,24,6.683,666,Boston Back Bay,108,0
50,97.5,392.05,1,6.53876,1.2024,18.1,42.2144,-71.0422,2.96,0.631,20.2,24,7.016,666,Boston Beacon Hill,201,0
50,100,366.15,0,9.2323,1.1691,18.1,42.216,-71.0417,9.53,0.631,20.2,24,6.216,666,Boston Beacon Hill,202,0
50,89.6,347.88,1,8.26725,1.1296,18.1,42.2182,-71.0397,8.88,0.668,20.2,24,5.875,666,Boston Beacon Hill,203,0
13.8,100,396.9,0,11.1081,1.1742,18.1,42.2207,-71.0339,34.77,0.668,20.2,24,4.906,666,Boston North End,301,0
13.8,100,396.9,0,18.4982,1.137,18.1,42.2187,-71.0346,37.97,0.668,20.2,24,4.138,666,Boston North End,302,0
15,97.9,396.9,0,19.6091,1.3163,18.1,42.224,-71.0367,13.44,0.671,20.2,24,7.313,666,Boston Charlestown,401,0
13.9,93.3,363.02,0,15.288,1.3449,18.1,42.226,-71.034,23.24,0.671,20.2,24,6.649,666,Boston Charlestown,402,0
13.3,98.8,396.9,0,9.82349,1.358,18.1,42.2265,-71.038,21.24,0.671,20.2,24,6.794,666,Boston Charlestown,403,0
13.1,96.2,396.9,0,23.6482,1.3861,18.1,42.2248,-71.04,23.69,0.671,20.2,24,6.38,666,Boston Charlestown,404,0
10.2,100,393.74,0,17.8667,1.3861,18.1,42.2275,-71.04,21.78,0.671,20.2,24,6.223,666,Boston Charlestown,405,0
10.4,91.9,396.9,0,88.9762,1.4165,18.1,42.23,-71.046,17.21,0.671,20.2,24,6.968,666,Boston Charlestown,406,0
10.9,99.1,396.9,0,15.8744,1.5192,18.1,42.229,-71.041,21.08,0.671,20.2,24,6.545,666,Boston East Boston,407,0
11.3,100,396.9,0,9.18702,1.5804,18.1,42.2287,-71.023,23.6,0.7,20.2,24,5.536,666,Boston East Boston,501,0
12.3,100,396.9,0,7.99248,1.5331,18.1,42.227,-71.0215,24.56,0.7,20.2,24,5.52,666,Boston East Boston,502,0
8.8,91.2,285.83,0,20.0849,1.4395,18.1,42.2235,-71.0245,30.63,0.7,20.2,24,4.368,666,Boston East Boston,503,0
7.2,98.1,396.9,0,16.8118,1.4261,18.1,42.2213,-71.0235,30.81,0.7,20.2,24,5.277,666,Boston East Boston,504,0
10.5,100,396.9,0,24.3938,1.4672,18.1,42.2231,-71.0228,28.28,0.7,20.2,24,4.652,666,Boston East Boston,506,0
7.4,89.5,396.9,0,22.5971,1.5184,18.1,42.2248,-71.0215,31.99,0.7,20.2,24,5,666,Boston East Boston,507,0
10.2,100,372.92,0,14.3337,1.5895,18.1,42.2255,-71.0195,30.62,0.7,20.2,24,4.88,666,Boston East Boston,508,0
11.5,98.9,396.9,0,8.15174,1.7281,18.1,42.2281,-71.0168,20.85,0.7,20.2,24,5.39,666,Boston East Boston,509,0
15.1,97,394.43,0,6.96215,1.9265,18.1,42.23,-71.0109,17.11,0.7,20.2,24,5.713,666,Boston East Boston,510,0
23.2,82.5,378.38,0,5.29305,2.1678,18.1,42.233,-71.0035,18.76,0.7,20.2,24,6.051,666,Boston East Boston,511,0
9.7,97,396.9,0,11.5779,1.77,18.1,42.2205,-71.02,25.68,0.7,20.2,24,5.036,666,Boston East Boston,512,0
13.8,92.6,396.9,0,8.64476,1.7912,18.1,42.201,-71.0167,15.17,0.693,20.2,24,6.193,666,Boston South Boston,601,0
12.7,94.7,396.9,0,13.3598,1.7821,18.1,42.1993,-71.02,16.35,0.693,20.2,24,5.887,666,Boston South Boston,602,0
13.1,98.8,391.98,0,8.71675,1.7257,18.1,42.1996,-71.022,17.12,0.693,20.2,24,6.471,666,Boston South Boston,603,0
12.5,96,396.9,0,5.87205,1.6768,18.1,42.1993,-71.026,19.37,0.693,20.2,24,6.405,666,Boston South Boston,604,0
8.5,98.9,393.1,0,7.67202,1.6334,18.1,42.2024,-71.025,19.92,0.693,20.2,24,5.747,666,Boston South Boston,605,0
5,100,396.9,0,38.3518,1.4896,18.1,42.209,-71.023,30.59,0.693,20.2,24,5.453,666,Boston South Boston,606,0
6.3,77.8,338.16,0,9.91655,1.5004,18.1,42.2032,-71.033,29.97,0.693,20.2,24,5.852,666,Boston South Boston,607,0
5.6,100,396.9,0,25.0461,1.5888,18.1,42.2011,-71.0326,26.77,0.693,20.2,24,5.987,666,Boston South Boston,608,0
7.2,100,396.9,0,14.2362,1.5741,18.1,42.2015,-71.03,20.32,0.693,20.2,24,6.343,666,Boston South Boston,609,0
12.1,100,376.11,0,9.59571,1.639,18.1,42.1988,-71.03,20.31,0.693,20.2,24,6.404,666,Boston South Boston,610,0
8.3,96,396.9,0,24.8017,1.7028,18.1,42.198,-71.0332,19.77,0.693,20.2,24,5.349,666,Boston South Boston,612,0
8.5,85.4,329.46,0,41.5292,1.6074,18.1,42.2001,-71.0345,27.38,0.693,20.2,24,5.531,666,Boston South Boston,613,0
5,100,384.97,0,67.9208,1.4254,18.1,42.2057,-71.032,22.98,0.693,20.2,24,5.683,666,Boston South Boston,614,0
11.9,100,370.22,0,20.7162,1.1781,18.1,42.2198,-71.039,23.34,0.659,20.2,24,4.138,666,Boston Downtown,702,0
27.9,100,332.09,0,11.9511,1.2852,18.1,42.209,-71.0427,12.13,0.659,20.2,24,5.608,666,Boston Downtown,703,0
17.2,97.9,314.64,0,7.40389,1.4547,18.1,42.205,-71.0437,26.4,0.597,20.2,24,5.617,666,Boston Downtown,705,0
27.5,100,179.36,0,14.4383,1.4655,18.1,42.206,-71.0455,19.78,0.597,20.2,24,6.852,666,Boston Downtown,706,0
15,100,2.6,0,51.1358,1.413,18.1,42.2075,-71.0462,10.11,0.597,20.2,24,5.757,666,Boston Downtown,707,0
17.2,100,35.05,0,14.0507,1.5275,18.1,42.2048,-71.0487,21.22,0.597,20.2,24,6.657,666,Boston Downtown,708,0
